product_id,title,category_tree,final_price,currency,item_details,shipping_return_policies,url,seller_shop_name
5000000010,Hand-Poured Clover Beeswax Candle,"[""Home & Living"",""Candles & Holders"",""Soy Candles""]",24.72,USD,"Pure beeswax pillar candle hand-poured with clover essential oil blend. Burns up to 40 hours with natural honey scent. No additives or artificial fragrances. Diameter: 3 inches, Height: 4 inches.","[""2-day processing"",""Free economy shipping"",""Exchanges accepted 14 days"",""Ships from Bend, OR""]",https://www.etsy.com/listing/5000000010/hand-poured-clover-beeswax-candle?ref=search_grid,SageAndSilkStudio
5000000011,Coconut Wax Thistle Scented Jar Candle,"[""Home & Living"",""Candles & Holders"",""Soy Candles""]",25.81,USD,Small-batch thistle scented candle made with sustainable coconut wax. Wooden wick creates a soft crackling sound. Fragrance throw is excellent. 8oz glass jar. Burns 55+ hours.,"[""Ready to ship"",""Free shipping all US orders"",""Refunds within 7 days unopened"",""Ships from Durango, CO""]",https://www.etsy.com/listing/5000000011/coconut-wax-thistle-scented-jar-candle?ref=search_grid,OakMossCreative
5000000012,Macramé Wisteria Wall Hanging,"[""Home & Living"",""Home Decor"",""Wall Hangings""]",100.55,USD,"Intricate hand-knotted macramé wall hanging in wisteria natural cotton rope. Features layered fringe and geometric knot patterns. Includes driftwood dowel. Dimensions: 20""W x 40""L.","[""Made to order 3-5 business days"",""Free USPS First Class shipping"",""Returns accepted within 30 days"",""Ships from Asheville, NC""]",https://www.etsy.com/listing/5000000012/macramé-wisteria-wall-hanging?ref=search_grid,BirchwoodBindery
5000000013,Dried Flower Wren Wreath,"[""Home & Living"",""Home Decor"",""Wreaths""]",46.92,USD,"Handcrafted dried flower wreath featuring wren seasonal botanicals. Preserved flowers, eucalyptus, and pampas grass arranged on grapevine base. Diameter 16 inches. Lasts 1-2 years.","[""In stock ships within 1-2 days"",""Flat rate shipping $3.99"",""Exchanges only on unused items"",""Ships from Portland, ME""]",https://www.etsy.com/listing/5000000013/dried-flower-wren-wreath?ref=search_grid,CrimsonCloakCraft
5000000014,Hand-Carved Falcon Wooden Shelf,"[""Home & Living"",""Furniture"",""Wooden Shelves""]",148.73,USD,"Solid walnut floating shelf hand-carved with falcon edge detail. Includes all mounting hardware. Length: 24 inches, Depth: 6 inches. Finished with food-safe beeswax oil.","[""Handmade to order 5-7 days"",""Free shipping on orders over $40"",""No returns on personalized items"",""Ships from Santa Fe, NM""]",https://www.etsy.com/listing/5000000014/hand-carved-falcon-wooden-shelf?ref=search_grid,DewdropDesignCo
5000000015,End-Grain Osprey Walnut Cutting Board,"[""Home & Living"",""Kitchen & Dining"",""Cutting Boards""]",101.75,USD,"End-grain hardwood cutting board handmade from osprey walnut and maple. Gentle on knife edges. Juice groove on one side. Oiled with food-safe mineral oil. 12""x9""x1.5"" thick.","[""Ready to ship today"",""Priority mail $7.95"",""30-day no hassle returns"",""Ships from Burlington, VT""]",https://www.etsy.com/listing/5000000015/end-grain-osprey-walnut-cutting-board?ref=search_grid,EmeraldEweStudio
5000000016,Hand-Thrown Hawkweed Ceramic Bowl Set,"[""Home & Living"",""Kitchen & Dining"",""Ceramic Bowls""]",79.83,USD,"Set of 4 hand-thrown ceramic bowls with hawkweed reactive glaze. Each bowl holds 16oz. Microwave, dishwasher, and oven safe to 350°F. Slight variations in glaze make each set unique.","[""Processing time 2-3 days"",""Free standard shipping"",""Store credit for returns within 14 days"",""Ships from Taos, NM""]",https://www.etsy.com/listing/5000000016/hand-thrown-hawkweed-ceramic-bowl-set?ref=search_grid,FogLightLeather
5000000017,Hand-Knitted Dogwood Merino Beanie,"[""Clothing"",""Men"",""Hats & Caps""]",53.39,USD,Cozy hand-knitted beanie made from 100% superwash merino wool in dogwood colorway. Stretchy ribbed construction fits most head sizes. Machine washable on gentle cycle.,"[""Ships in 3-4 business days"",""Calculated shipping at checkout"",""Returns for store credit within 21 days"",""Ships from Missoula, MT""]",https://www.etsy.com/listing/5000000017/hand-knitted-dogwood-merino-beanie?ref=search_grid,GoldenFleeceFibers
5000000018,Crochet Sweetgrass Lace Hair Scrunchie,"[""Clothing"",""Accessories"",""Hair Accessories""]",7.83,USD,"Handmade crochet scrunchie in sweetgrass cotton lace pattern. Gentle on hair, no damage or kinks. Elastic band inside. Fits ponytail or bun. Sold as set of 3.","[""Made fresh to order 4-6 days"",""Free shipping over $50"",""No returns on food or bath items"",""Ships from Olympia, WA""]",https://www.etsy.com/listing/5000000018/crochet-sweetgrass-lace-hair-scrunchie?ref=search_grid,HawthornHollowCo
5000000019,Hand-Dyed Cattail Silk Wrap Shawl,"[""Clothing"",""Women"",""Knitwear""]",137.57,USD,"Luxurious hand-dyed silk wrap shawl in cattail watercolor pattern. 100% habotai silk. Dimensions 72""x22"". Each shawl is one-of-a-kind due to the hand-dyeing process.","[""Usually ships next day"",""Free shipping on all orders"",""Easy 30-day returns"",""Ships from Chattanooga, TN""]",https://www.etsy.com/listing/5000000019/hand-dyed-cattail-silk-wrap-shawl?ref=search_grid,IronwoodInkworks
5000000020,Hand-Stitched Bullrush Leather Clutch,"[""Bags & Purses"",""Handbags"",""Clutches""]",125.75,USD,"Handmade leather clutch with bullrush hand-stitching detail. Full-grain vegetable-tanned leather. Interior zipper pocket. Magnetic snap closure. Dimensions: 9""x5"". Includes wrist strap.","[""Handcrafted 7-10 days lead time"",""Free USPS Priority on orders $75+"",""Custom orders non-refundable"",""Ships from Bozeman, MT""]",https://www.etsy.com/listing/5000000020/hand-stitched-bullrush-leather-clutch?ref=search_grid,JasperJunctionCraft
5000000021,Waxed Canvas Sedge Backpack,"[""Bags & Purses"",""Backpacks"",""Canvas Backpacks""]",130.74,USD,"Heavy-duty waxed canvas backpack with sedge leather trim. Waterproof exterior, padded laptop sleeve (fits 15""). External and internal pockets. Antique brass hardware. Capacity: 20L.","[""Ships within 48 hours"",""$4.50 flat rate shipping"",""Returns within 30 days with receipt"",""Ships from Flagstaff, AZ""]",https://www.etsy.com/listing/5000000021/waxed-canvas-sedge-backpack?ref=search_grid,KelpForestGoods
5000000022,Original Bracken Encaustic Wax Painting,"[""Art & Collectibles"",""Paintings"",""Oil Paintings""]",268.57,USD,"Original encaustic (hot wax) painting with bracken abstract composition. Pigmented beeswax layers fused with heat for luminous depth. 8""x10"" on birch panel. Ready to hang.","[""2-day processing"",""Free economy shipping"",""Exchanges accepted 14 days"",""Ships from Bend, OR""]",https://www.etsy.com/listing/5000000022/original-bracken-encaustic-wax-painting?ref=search_grid,LarchLaneCeramics
5000000023,Hand-Sculpted Sorrel Ceramic Figurine,"[""Art & Collectibles"",""Sculpture"",""Ceramic Figurines""]",64.37,USD,Hand-sculpted stoneware ceramic figurine with sorrel glaze details. Each piece is individually made and unique. Kiln-fired for durability. Approx 4 inches tall.,"[""Ready to ship"",""Free shipping all US orders"",""Refunds within 7 days unopened"",""Ships from Durango, CO""]",https://www.etsy.com/listing/5000000023/hand-sculpted-sorrel-ceramic-figurine?ref=search_grid,MistMeadowMakers
5000000024,Fine Art Chamomile Nature Photograph Print,"[""Art & Collectibles"",""Photography"",""Nature Photography""]",62.14,USD,Archival fine art print of original chamomile nature photograph. Printed on 100% cotton rag paper with pigment inks. Fade-resistant for 100+ years. Available in 5x7 to 16x20.,"[""Made to order 3-5 business days"",""Free USPS First Class shipping"",""Returns accepted within 30 days"",""Ships from Asheville, NC""]",https://www.etsy.com/listing/5000000024/fine-art-chamomile-nature-photograph-print?ref=search_grid,NettleNookStudio
5000000025,Goat Milk Yarrow Artisan Soap,"[""Bath & Beauty"",""Soaps"",""Goat Milk Soaps""]",13.1,USD,"Nourishing goat milk soap with yarrow fragrance and botanical inclusions. Cold-process method preserves natural glycerin. Free from sulfates, parabens, and artificial colors. 4.5oz bar.","[""In stock ships within 1-2 days"",""Flat rate shipping $3.99"",""Exchanges only on unused items"",""Ships from Portland, ME""]",https://www.etsy.com/listing/5000000025/goat-milk-yarrow-artisan-soap?ref=search_grid,ObsidianOwlCrafts
5000000026,Solid Valerian Shampoo Bar,"[""Bath & Beauty"",""Hair Care"",""Shampoo Bars""]",15.04,USD,"Zero-waste solid shampoo bar with valerian herbal blend. Replaces 2-3 bottles of liquid shampoo. Sulfate-free, suitable for all hair types. Lasts 60-80 washes. Comes in compostable wrapper.","[""Handmade to order 5-7 days"",""Free shipping on orders over $40"",""No returns on personalized items"",""Ships from Santa Fe, NM""]",https://www.etsy.com/listing/5000000026/solid-valerian-shampoo-bar?ref=search_grid,PrairieRootPottery
5000000027,Sugar Mugwort Body Scrub,"[""Bath & Beauty"",""Body"",""Body Scrubs""]",15.93,USD,Handmade mugwort sugar body scrub with coconut oil base. Gently exfoliates and moisturizes in one step. Made with organic cane sugar and mugwort essential oils. 8oz jar.,"[""Ready to ship today"",""Priority mail $7.95"",""30-day no hassle returns"",""Ships from Burlington, VT""]",https://www.etsy.com/listing/5000000027/sugar-mugwort-body-scrub?ref=search_grid,QuartzAndCloverCo
5000000028,Hand-Bound Nettle Leather Journal,"[""Paper & Party"",""Stationery"",""Notebooks""]",28.43,USD,"Hand-bound journal with nettle leather cover and linen thread Coptic stitch binding. 200 pages of 90gsm acid-free paper. Lies completely flat when open. A5 size (5.8""x8.3"").","[""Processing time 2-3 days"",""Free standard shipping"",""Store credit for returns within 14 days"",""Ships from Taos, NM""]",https://www.etsy.com/listing/5000000028/hand-bound-nettle-leather-journal?ref=search_grid,RavenRidgeDesigns
5000000029,Watercolor Burdock Wedding Card,"[""Paper & Party"",""Cards"",""Wedding Cards""]",6.83,USD,"Hand-designed watercolor wedding card with burdock botanical illustration. Printed on 130lb recycled cardstock. Blank inside. A2 size with recycled kraft envelope. Set of 1, 5, or 10.","[""Ships in 3-4 business days"",""Calculated shipping at checkout"",""Returns for store credit within 21 days"",""Ships from Missoula, MT""]",https://www.etsy.com/listing/5000000029/watercolor-burdock-wedding-card?ref=search_grid,SaffronStitchCo
5000000030,Hand-Painted Snowdrop Wooden Puzzle,"[""Toys & Games"",""Wooden Toys"",""Educational Toys""]",64.55,USD,"Handmade wooden jigsaw puzzle with snowdrop hand-painted design. Laser-cut from 1/4"" birch plywood. Non-toxic, child-safe paint. 30 pieces. Ages 3+. Comes in a reusable cotton bag.","[""Made fresh to order 4-6 days"",""Free shipping over $50"",""No returns on food or bath items"",""Ships from Olympia, WA""]",https://www.etsy.com/listing/5000000030/hand-painted-snowdrop-wooden-puzzle?ref=search_grid,ClayCottageStudio
5000000031,Hand-Braided Crocus Cat Toy Wand,"[""Pet Supplies"",""Cat Accessories"",""Cat Toys""]",15.48,USD,Handmade cat wand toy with crocus braided cotton rope and natural feather attachment. 12-inch wand with 18-inch ribbon tail. Catnip-infused. Replacement feathers available.,"[""Usually ships next day"",""Free shipping on all orders"",""Easy 30-day returns"",""Ships from Chattanooga, TN""]",https://www.etsy.com/listing/5000000031/hand-braided-crocus-cat-toy-wand?ref=search_grid,WildHoneyHandmade
5000000032,Handcrafted Trillium Moonstone Pendant Necklace,"[""Jewelry"",""Necklaces"",""Pendant Necklaces""]",58.96,USD,"Delicate handcrafted pendant necklace featuring genuine trillium moonstone set in sterling silver. Wire-wrapped by hand, each piece is unique. Chain length 18 inches with lobster clasp. Comes in a kraft gift box.","[""Handcrafted 7-10 days lead time"",""Free USPS Priority on orders $75+"",""Custom orders non-refundable"",""Ships from Bozeman, MT""]",https://www.etsy.com/listing/5000000032/handcrafted-trillium-moonstone-pendant-necklace?ref=search_grid,ThePotteryBarn
5000000033,Custom Name Bloodroot Gold-Fill Necklace,"[""Jewelry"",""Necklaces"",""Pendant Necklaces""]",102.52,USD,"Personalized bloodroot name necklace hand-stamped on 14k gold-filled disc. Choose font and chain length (16"", 18"", 20""). Perfect birthday or anniversary gift. Tarnish resistant.","[""Ships within 48 hours"",""$4.50 flat rate shipping"",""Returns within 30 days with receipt"",""Ships from Flagstaff, AZ""]",https://www.etsy.com/listing/5000000033/custom-name-bloodroot-gold-fill-necklace?ref=search_grid,IndigoInkCrafts
5000000034,Vintage-Style Hepatica Locket Necklace,"[""Jewelry"",""Necklaces"",""Lockets""]",94.5,USD,Antique-inspired hepatica brass locket necklace. Opens to hold two small photos. Intricately engraved exterior. Hangs on 24-inch brass chain. Includes velvet pouch.,"[""2-day processing"",""Free economy shipping"",""Exchanges accepted 14 days"",""Ships from Bend, OR""]",https://www.etsy.com/listing/5000000034/vintage-style-hepatica-locket-necklace?ref=search_grid,FernAndFlintCo
5000000035,Handwoven Mayapple Friendship Bracelet,"[""Jewelry"",""Bracelets"",""Charm Bracelets""]",27.53,USD,"Handwoven mayapple friendship bracelet made with premium waxed cotton thread. Adjustable sliding knot closure fits wrist sizes 5""-8"". Waterproof and durable. Available in 12 color combinations.","[""Ready to ship"",""Free shipping all US orders"",""Refunds within 7 days unopened"",""Ships from Durango, CO""]",https://www.etsy.com/listing/5000000035/handwoven-mayapple-friendship-bracelet?ref=search_grid,RosequartzRings
5000000036,Hammered Elderflower Copper Cuff Bracelet,"[""Jewelry"",""Bracelets"",""Cuff Bracelets""]",39.16,USD,Hand-hammered pure copper cuff bracelet with elderflower patina finish. Adjustable opening fits most wrist sizes. Each piece is unique due to the hammering process. Width: 3/4 inch.,"[""Made to order 3-5 business days"",""Free USPS First Class shipping"",""Returns accepted within 30 days"",""Ships from Asheville, NC""]",https://www.etsy.com/listing/5000000036/hammered-elderflower-copper-cuff-bracelet?ref=search_grid,HarvestMoonGoods
5000000037,Beaded Hawthorn Gemstone Bracelet,"[""Jewelry"",""Bracelets"",""Charm Bracelets""]",28.14,USD,Handstrung hawthorn gemstone bead bracelet on durable stretch cord. Features 8mm natural stone beads. Fits wrists up to 7.5 inches. Each bead is genuine natural stone.,"[""In stock ships within 1-2 days"",""Flat rate shipping $3.99"",""Exchanges only on unused items"",""Ships from Portland, ME""]",https://www.etsy.com/listing/5000000037/beaded-hawthorn-gemstone-bracelet?ref=search_grid,TerraThreadWorks
5000000038,Hand-Forged Blackthorn Silver Stud Earrings,"[""Jewelry"",""Earrings"",""Stud Earrings""]",51.83,USD,Hand-forged sterling silver stud earrings with blackthorn texture. Posts are 925 sterling silver with butterfly backs. Nickel-free and hypoallergenic. Approx 10mm diameter.,"[""Handmade to order 5-7 days"",""Free shipping on orders over $40"",""No returns on personalized items"",""Ships from Santa Fe, NM""]",https://www.etsy.com/listing/5000000038/hand-forged-blackthorn-silver-stud-earrings?ref=search_grid,MapleBarkDesigns
5000000039,Wirewrapped Rowan Crystal Hoop Earrings,"[""Jewelry"",""Earrings"",""Hoop Earrings""]",28.84,USD,Handmade wire-wrapped hoop earrings featuring rowan crystal accents. Made with 20-gauge sterling silver wire. Hoop diameter: 35mm. Lightweight and comfortable for everyday wear.,"[""Ready to ship today"",""Priority mail $7.95"",""30-day no hassle returns"",""Ships from Burlington, VT""]",https://www.etsy.com/listing/5000000039/wirewrapped-rowan-crystal-hoop-earrings?ref=search_grid,CoralReefCrafts
5000000040,Hand-Stamped Sloe Stacking Ring,"[""Jewelry"",""Rings"",""Band Rings""]",38.13,USD,Dainty hand-stamped sloe stacking ring in sterling silver. Available in sizes 4-12 including half sizes. 2mm wide band. Can be personalized with a word or date upon request.,"[""Processing time 2-3 days"",""Free standard shipping"",""Store credit for returns within 14 days"",""Ships from Taos, NM""]",https://www.etsy.com/listing/5000000040/hand-stamped-sloe-stacking-ring?ref=search_grid,SageAndSilkStudio
5000000041,Raw Crystal Damson Statement Ring,"[""Jewelry"",""Rings"",""Statement Rings""]",57.75,USD,Bold statement ring featuring raw damson crystal set in recycled brass. Adjustable band fits sizes 6-9. Each crystal is unique in shape and color. Finished with damson patina.,"[""Ships in 3-4 business days"",""Calculated shipping at checkout"",""Returns for store credit within 21 days"",""Ships from Missoula, MT""]",https://www.etsy.com/listing/5000000041/raw-crystal-damson-statement-ring?ref=search_grid,OakMossCreative
5000000042,Hand-Poured Persimmon Beeswax Candle,"[""Home & Living"",""Candles & Holders"",""Soy Candles""]",37.56,USD,"Pure beeswax pillar candle hand-poured with persimmon essential oil blend. Burns up to 40 hours with natural honey scent. No additives or artificial fragrances. Diameter: 3 inches, Height: 4 inches.","[""Made fresh to order 4-6 days"",""Free shipping over $50"",""No returns on food or bath items"",""Ships from Olympia, WA""]",https://www.etsy.com/listing/5000000042/hand-poured-persimmon-beeswax-candle?ref=search_grid,BirchwoodBindery
5000000043,Coconut Wax Quince Scented Jar Candle,"[""Home & Living"",""Candles & Holders"",""Soy Candles""]",40.43,USD,Small-batch quince scented candle made with sustainable coconut wax. Wooden wick creates a soft crackling sound. Fragrance throw is excellent. 8oz glass jar. Burns 55+ hours.,"[""Usually ships next day"",""Free shipping on all orders"",""Easy 30-day returns"",""Ships from Chattanooga, TN""]",https://www.etsy.com/listing/5000000043/coconut-wax-quince-scented-jar-candle?ref=search_grid,CrimsonCloakCraft
5000000044,Macramé Medlar Wall Hanging,"[""Home & Living"",""Home Decor"",""Wall Hangings""]",105.35,USD,"Intricate hand-knotted macramé wall hanging in medlar natural cotton rope. Features layered fringe and geometric knot patterns. Includes driftwood dowel. Dimensions: 20""W x 40""L.","[""Handcrafted 7-10 days lead time"",""Free USPS Priority on orders $75+"",""Custom orders non-refundable"",""Ships from Bozeman, MT""]",https://www.etsy.com/listing/5000000044/macramé-medlar-wall-hanging?ref=search_grid,DewdropDesignCo
5000000045,Dried Flower Mulberry Wreath,"[""Home & Living"",""Home Decor"",""Wreaths""]",37.04,USD,"Handcrafted dried flower wreath featuring mulberry seasonal botanicals. Preserved flowers, eucalyptus, and pampas grass arranged on grapevine base. Diameter 16 inches. Lasts 1-2 years.","[""Ships within 48 hours"",""$4.50 flat rate shipping"",""Returns within 30 days with receipt"",""Ships from Flagstaff, AZ""]",https://www.etsy.com/listing/5000000045/dried-flower-mulberry-wreath?ref=search_grid,EmeraldEweStudio
5000000046,Hand-Carved Gooseberry Wooden Shelf,"[""Home & Living"",""Furniture"",""Wooden Shelves""]",47.68,USD,"Solid walnut floating shelf hand-carved with gooseberry edge detail. Includes all mounting hardware. Length: 24 inches, Depth: 6 inches. Finished with food-safe beeswax oil.","[""2-day processing"",""Free economy shipping"",""Exchanges accepted 14 days"",""Ships from Bend, OR""]",https://www.etsy.com/listing/5000000046/hand-carved-gooseberry-wooden-shelf?ref=search_grid,FogLightLeather
5000000047,End-Grain Bilberry Walnut Cutting Board,"[""Home & Living"",""Kitchen & Dining"",""Cutting Boards""]",114.22,USD,"End-grain hardwood cutting board handmade from bilberry walnut and maple. Gentle on knife edges. Juice groove on one side. Oiled with food-safe mineral oil. 12""x9""x1.5"" thick.","[""Ready to ship"",""Free shipping all US orders"",""Refunds within 7 days unopened"",""Ships from Durango, CO""]",https://www.etsy.com/listing/5000000047/end-grain-bilberry-walnut-cutting-board?ref=search_grid,GoldenFleeceFibers
5000000048,Hand-Thrown Crowberry Ceramic Bowl Set,"[""Home & Living"",""Kitchen & Dining"",""Ceramic Bowls""]",115.21,USD,"Set of 4 hand-thrown ceramic bowls with crowberry reactive glaze. Each bowl holds 16oz. Microwave, dishwasher, and oven safe to 350°F. Slight variations in glaze make each set unique.","[""Made to order 3-5 business days"",""Free USPS First Class shipping"",""Returns accepted within 30 days"",""Ships from Asheville, NC""]",https://www.etsy.com/listing/5000000048/hand-thrown-crowberry-ceramic-bowl-set?ref=search_grid,HawthornHollowCo
5000000049,Hand-Knitted Cloudberry Merino Beanie,"[""Clothing"",""Men"",""Hats & Caps""]",25.73,USD,Cozy hand-knitted beanie made from 100% superwash merino wool in cloudberry colorway. Stretchy ribbed construction fits most head sizes. Machine washable on gentle cycle.,"[""In stock ships within 1-2 days"",""Flat rate shipping $3.99"",""Exchanges only on unused items"",""Ships from Portland, ME""]",https://www.etsy.com/listing/5000000049/hand-knitted-cloudberry-merino-beanie?ref=search_grid,IronwoodInkworks
5000000050,Crochet Lingonberry Lace Hair Scrunchie,"[""Clothing"",""Accessories"",""Hair Accessories""]",11.11,USD,"Handmade crochet scrunchie in lingonberry cotton lace pattern. Gentle on hair, no damage or kinks. Elastic band inside. Fits ponytail or bun. Sold as set of 3.","[""Handmade to order 5-7 days"",""Free shipping on orders over $40"",""No returns on personalized items"",""Ships from Santa Fe, NM""]",https://www.etsy.com/listing/5000000050/crochet-lingonberry-lace-hair-scrunchie?ref=search_grid,JasperJunctionCraft
5000000051,Hand-Dyed Bearberry Silk Wrap Shawl,"[""Clothing"",""Women"",""Knitwear""]",65.75,USD,"Luxurious hand-dyed silk wrap shawl in bearberry watercolor pattern. 100% habotai silk. Dimensions 72""x22"". Each shawl is one-of-a-kind due to the hand-dyeing process.","[""Ready to ship today"",""Priority mail $7.95"",""30-day no hassle returns"",""Ships from Burlington, VT""]",https://www.etsy.com/listing/5000000051/hand-dyed-bearberry-silk-wrap-shawl?ref=search_grid,KelpForestGoods
5000000052,Hand-Stitched Hackberry Leather Clutch,"[""Bags & Purses"",""Handbags"",""Clutches""]",74.43,USD,"Handmade leather clutch with hackberry hand-stitching detail. Full-grain vegetable-tanned leather. Interior zipper pocket. Magnetic snap closure. Dimensions: 9""x5"". Includes wrist strap.","[""Processing time 2-3 days"",""Free standard shipping"",""Store credit for returns within 14 days"",""Ships from Taos, NM""]",https://www.etsy.com/listing/5000000052/hand-stitched-hackberry-leather-clutch?ref=search_grid,LarchLaneCeramics
5000000053,Waxed Canvas Buffaloberry Backpack,"[""Bags & Purses"",""Backpacks"",""Canvas Backpacks""]",85.77,USD,"Heavy-duty waxed canvas backpack with buffaloberry leather trim. Waterproof exterior, padded laptop sleeve (fits 15""). External and internal pockets. Antique brass hardware. Capacity: 20L.","[""Ships in 3-4 business days"",""Calculated shipping at checkout"",""Returns for store credit within 21 days"",""Ships from Missoula, MT""]",https://www.etsy.com/listing/5000000053/waxed-canvas-buffaloberry-backpack?ref=search_grid,MistMeadowMakers
5000000054,Original Aurora Encaustic Wax Painting,"[""Art & Collectibles"",""Paintings"",""Oil Paintings""]",135.89,USD,"Original encaustic (hot wax) painting with aurora abstract composition. Pigmented beeswax layers fused with heat for luminous depth. 8""x10"" on birch panel. Ready to hang.","[""Made fresh to order 4-6 days"",""Free shipping over $50"",""No returns on food or bath items"",""Ships from Olympia, WA""]",https://www.etsy.com/listing/5000000054/original-aurora-encaustic-wax-painting?ref=search_grid,NettleNookStudio
